"Ubs,V","Ibs,A","Isun,A","Ipt1,A","Ipt2,A","Ipt3,A","Ipt4,A","Ipt5,A","Ipt6,A","Ipt7,A","Ipt10,A","Ipt11,A","Ipt12,A","Ipt13,A","Ipt14,A","Ipt15,A","Ipt16,A","Ipt17,A","TR1,C","TR2,C","TR3,C","TR4,C","TR5,C","TR6,C","TR7,C","TR8,C","TR9,C","TR10,C","TR11,C","TR12,C","TR13,C","TR14,C","TR15,C","TR16,C","TDS1,C","TDS2,C","TDS3,C","TDS4,C","TDS5,C","TDS6,C","TDS7,C","TDS8,C","TDS9,C","TKpt,C","TGbv,C","TNap,C","TPrd2,C","TPrd1,C","TDS24,C"
13.12,1.41,0.99,0.07,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,4.0,2.0,3.0,5.0,1.0,1.0,0.0,-1.0,-17.0,6.0,2.0,6.0,2.0,3.0,16.0,16.0,16.0,16.0,16.0,15.0,20.0,19.0,18.0,26.0,20.0,19.0,30.0,20.0,21.0
13.12,1.44,1.09,0.07,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,4.0,2.0,4.0,5.0,2.0,2.0,0.0,-1.0,-17.0,9.0,2.0,6.0,4.0,2.0,16.0,16.0,16.0,16.0,16.0,15.0,21.0,20.0,18.0,26.0,20.0,19.0,31.0,20.0,21.0
13.25,0.27,1.44,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,4.0,2.0,4.0,5.0,2.0,2.0,1.0,-1.0,-12.0,9.0,4.0,8.0,4.0,5.0,16.0,16.0,16.0,16.0,16.0,15.0,21.0,20.0,18.0,26.0,20.0,19.0,31.0,20.0,21.0
13.32,0.27,0.88,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,4.0,2.0,4.0,5.0,2.0,2.0,1.0,0.0,-9.0,8.0,4.0,8.0,5.0,5.0,16.0,16.0,16.0,16.0,16.0,15.0,21.0,20.0,19.0,26.0,20.0,19.0,27.0,20.0,21.0
13.38,0.21,0.8,0.09,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,0.0,-9.0,9.0,2.0,9.0,5.0,5.0,15.0,16.0,16.0,16.0,16.0,15.0,20.0,20.0,19.0,26.0,20.0,19.0,25.0,20.0,21.0
13.45,0.21,1.47,0.07,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,4.0,4.0,4.0,7.0,4.0,4.0,1.0,2.0,-5.0,9.0,5.0,8.0,5.0,6.0,15.0,16.0,16.0,16.0,16.0,15.0,20.0,20.0,19.0,26.0,20.0,19.0,24.0,21.0,21.0
13.51,0.24,1.65,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,6.0,4.0,4.0,7.0,4.0,4.0,3.0,2.0,-4.0,9.0,4.0,9.0,5.0,6.0,15.0,16.0,16.0,16.0,16.0,15.0,19.0,19.0,19.0,26.0,20.0,19.0,23.0,21.0,21.0
13.51,0.24,1.44,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,6.0,4.0,4.0,7.0,5.0,4.0,3.0,2.0,-2.0,11.0,5.0,9.0,5.0,8.0,15.0,16.0,16.0,16.0,16.0,15.0,19.0,19.0,19.0,26.0,20.0,19.0,22.0,21.0,21.0
13.64,0.24,1.71,0.07,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,6.0,4.0,6.0,7.0,5.0,5.0,3.0,2.0,-1.0,11.0,5.0,9.0,5.0,10.0,15.0,16.0,16.0,16.0,16.0,15.0,19.0,19.0,19.0,26.0,20.0,19.0,22.0,21.0,21.0
13.64,0.24,1.79,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,6.0,5.0,4.0,7.0,5.0,5.0,4.0,3.0,1.0,11.0,5.0,11.0,7.0,8.0,15.0,16.0,16.0,16.0,16.0,15.0,19.0,19.0,19.0,26.0,20.0,19.0,22.0,21.0,21.0
